Q,A,label
아메리카노 얼마에요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
따뜻한 아메리카노 얼마에요?,따뜻한 아메리카노 가격은 3500원 입니다.,제품_가격_질문
아이스 아메리카노 얼마에요?,아이스 아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문_제품_요청
아메리카노 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문_제품_요청
따뜻한 아메리카노 한 잔 주세요.,따뜻한 아메리카노 한 잔 준비해드리겠습니다.,주문_제품_요청
아이스 아메리카노 한 잔 주세요.,아이스 아메리카노 한 잔 준비해드리겠습니다.,주문_제품_요청
아메리카노 포장되나요?,아메리카노 포장가능합니다.,포장_일반_질문
아메리카노 샷 추가 되나요?,아메리카노 샷 추가 가능합니다.,주문_제품_확인
아메리카노 샷 추가 해주세요,아메리카노 샷 추가 해드리겠습니다.,주문_제품_요청
아메리카노 샷 추가 얼마인가요?,샷 추가 1회 500원 입니다.,제품_가격_질문
아메리카노 4천원 맞죠?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 5천원인가요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문_제품_확인
아메리카노 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문_제품_요청
아메리카노 한잔 연하게 부탁드려요.,아메리카노 한 잔 연하게 준비해드리겠습니다.,주문_제품_요청
따뜻한 아메리카노 두 잔 얼마에요?,따뜻한 아메리카노 가격은 7000원 입니다.,제품_가격_질문
아이스 아메리카노 두 잔 얼마에요?,아이스 아메리카노 가격은 7000원 입니다.,제품_가격_질문
따뜻한 아메리카노 세 잔 얼마에요?,따뜻한 아메리카노 가격은 10500원 입니다.,제품_가격_질문
아이스 아메리카노 세 잔 얼마에요?,아이스 아메리카노 가격은 10500원 입니다.,제품_가격_질문
따뜻한 아메리카노 네 잔 얼마에요?,따뜻한 아메리카노 가격은 14000원 입니다.,제품_가격_질문
아이스 아메리카노 네 잔 얼마에요?,아이스 아메리카노 가격은 14000원 입니다.,제품_가격_질문
따뜻한 아메리카노 다섯 잔 얼마에요?,따뜻한 아메리카노 가격은 17500원 입니다.,제품_가격_질문
아이스 아메리카노 다섯 잔 얼마에요?,아이스 아메리카노 가격은 17500원 입니다.,제품_가격_질문
아메리카노 얼마예요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 얼마인가요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 얼마인지 알 수 있을까요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 얼마인지 알려주세요.,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 가격 좀 알려주세요.,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 가격 좀 알려주시겠어요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 금액 좀 알려주세요.,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 얼마죠?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 1잔 합해서 얼마죠?,총 7000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 2잔 합해서 얼마죠?,총 10500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 3잔 합해서 얼마죠?,총 14000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 4잔 합해서 얼마죠?,총 17500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 5잔 합해서 얼마죠?,총 21000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 1잔 합해서 얼마죠?,총 8000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 2잔 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 3잔 합해서 얼마죠?,총 17000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 4잔 합해서 얼마죠?,총 21500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 5잔 합해서 얼마죠?,총 26000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 1잔 합해서 얼마죠?,총 11500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 2잔 합해서 얼마죠?,총 16000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 3잔 합해서 얼마죠?,총 20500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 4잔 합해서 얼마죠?,총 25000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 5잔 합해서 얼마죠?,총 29500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 1잔 합해서 얼마죠?,총 15000원 입니다.,제품_가격_질문
