Q,A,Intent
아메리카노 얼마에요?,아메리카노 가격은 3500원 입니다.,제품
따뜻한 아메리카노 얼마인가요?,따뜻한 아메리카노 가격은 3500원 입니다.,제품
아이스 아메리카노 얼마인가요?,아이스 아메리카노 가격은 3500원 입니다.,제품
아메리카노 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
아메리카노 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
따뜻한 아메리카노 한 잔 주세요,"네, 따뜻한 아메리카노 한 잔 준비해 드리겠습니다.",주문
아이스 아메리카노 한 잔 주세요,"네, 아이스 아메리카노 한 잔 준비해 드리겠습니다.",주문
아메리카노 포장 되나요?,아메리카노 포장 가능합니다.,포장
아메리카노 샷 추가 되나요?,아메리카노 샷 추가 가능합니다.,주문
아메리카노 샷 추가 해주세요,아메리카노 샷 추가해 드리겠습니다.,주문
아메리카노 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품
아메리카노 4천원 맞죠?,아메리카노 가격은 3500원 입니다.,제품
아메리카노 5천원인가요?,아메리카노 가격은 3500원 입니다.,제품
아메리카노 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
아메리카노 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
카페라떼 얼마에요?,카페라떼 가격은 4500원 입니다.,제품
따뜻한 카페라떼 얼마인가요?,따뜻한 카페라떼 가격은 4500원 입니다.,제품
아이스 카페라떼 얼마인가요?,아이스 카페라떼 가격은 4500원 입니다.,제품
카페라떼 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
카페라떼 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
따뜻한 카페라떼 한 잔 주세요,"네, 따뜻한 카페라떼 한 잔 준비해 드리겠습니다.",주문
아이스 카페라떼 한 잔 주세요,"네, 아이스 카페라떼 한 잔 준비해 드리겠습니다.",주문
카페라떼 포장 되나요?,카페라떼 포장 가능합니다.,포장
카페라떼 샷 추가 되나요?,카페라떼 샷 추가 가능합니다.,주문
카페라떼 샷 추가 해주세요,카페라떼 샷 추가해 드리겠습니다.,주문
카페라떼 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품
카페라떼 4천원 맞죠?,카페라떼 가격은 4500원 입니다.,제품
카페라떼 5천원인가요?,카페라떼 가격은 4500원 입니다.,제품
카페라떼 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
카페라떼 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
카페모카 얼마에요?,카페모카 가격은 4500원 입니다.,제품
따뜻한 카페모카 얼마인가요?,따뜻한 카페모카 가격은 4500원 입니다.,제품
아이스 카페모카 얼마인가요?,아이스 카페모카 가격은 4500원 입니다.,제품
카페모카 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
카페모카 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
따뜻한 카페모카 한 잔 주세요,"네, 따뜻한 카페모카 한 잔 준비해 드리겠습니다.",주문
아이스 카페모카 한 잔 주세요,"네, 아이스 카페모카 한 잔 준비해 드리겠습니다.",주문
카페모카 포장 되나요?,카페모카 포장 가능합니다.,포장
카페모카 샷 추가 되나요?,카페모카 샷 추가 가능합니다.,주문
카페모카 샷 추가 해주세요,카페모카 샷 추가해 드리겠습니다.,주문
카페모카 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품
카페모카 4천원 맞죠?,카페모카 가격은 4500원 입니다.,제품
카페모카 5천원인가요?,카페모카 가격은 4500원 입니다.,제품
카페모카 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
카페모카 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
바닐라라떼 얼마에요?,바닐라라떼 가격은 5500원 입니다.,제품
따뜻한 바닐라라떼 얼마인가요?,따뜻한 바닐라라떼 가격은 5500원 입니다.,제품
아이스 바닐라라떼 얼마인가요?,아이스 바닐라라떼 가격은 5500원 입니다.,제품
바닐라라떼 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
바닐라라떼 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
따뜻한 바닐라라떼 한 잔 주세요,"네, 따뜻한 바닐라라떼 한 잔 준비해 드리겠습니다.",주문
아이스 바닐라라떼 한 잔 주세요,"네, 아이스 바닐라라떼 한 잔 준비해 드리겠습니다.",주문
바닐라라떼 포장 되나요?,바닐라라떼 포장 가능합니다.,포장
바닐라라떼 샷 추가 되나요?,바닐라라떼 샷 추가 가능합니다.,주문
바닐라라떼 샷 추가 해주세요,바닐라라떼 샷 추가해 드리겠습니다.,주문
바닐라라떼 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품
바닐라라떼 4천원 맞죠?,바닐라라떼 가격은 5500원 입니다.,제품
바닐라라떼 5천원인가요?,바닐라라떼 가격은 5500원 입니다.,제품
바닐라라떼 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
바닐라라떼 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
 콜드브루 얼마에요?, 콜드브루 가격은 4000원 입니다.,제품
따뜻한  콜드브루 얼마인가요?,따뜻한  콜드브루 가격은 4000원 입니다.,제품
아이스  콜드브루 얼마인가요?,아이스  콜드브루 가격은 4000원 입니다.,제품
 콜드브루 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
 콜드브루 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
따뜻한  콜드브루 한 잔 주세요,"네, 따뜻한  콜드브루 한 잔 준비해 드리겠습니다.",주문
아이스  콜드브루 한 잔 주세요,"네, 아이스  콜드브루 한 잔 준비해 드리겠습니다.",주문
