Q,A,Label
아메리카노 얼마에요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
따뜻한 아메리카노 얼마에요?,따뜻한 아메리카노 가격은 3500원 입니다.,제품_가격_질문
아이스 아메리카노 얼마에요?,아이스 아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문_제품_요청
아메리카노 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문_제품_요청
따뜻한 아메리카노 한 잔 주세요,따뜻한 아메리카노 한 잔 준비해드리겠습니다.,주문_제품_요청
아이스 아메리카노 한 잔 주세요,아이스 아메리카노 한 잔 준비해드리겠습니다.,주문_제품_요청
아메리카노 포장되나요?,아메리카노 포장가능합니다.,포장_일반_질문
아메리카노 샷 추가 되나요?,아메리카노 샷 추가 가능합니다.,주문_제품_확인
아메리카노 샷 추가 해주세요,아메리카노 샷 추가 해드리겠습니다.,주문_제품_요청
아메리카노 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품_가격_질문
아메리카노 4천원 맞죠?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 5천원인가요?,아메리카노 가격은 3500원 입니다.,제품_가격_질문
아메리카노 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문_제품_확인
아메리카노 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문_제품_요청
아메리카노 한잔 연하게 부탁드려요,아메리카노 한 잔 연하게 준비해드리겠습니다.,주문_제품_요청
따뜻한 아메리카노 두 잔 얼마에요?,따뜻한 아메리카노 가격은 7000원 입니다.,제품_가격_질문
아이스 아메리카노 두 잔 얼마에요?,아이스 아메리카노 가격은 7000원 입니다.,제품_가격_질문
따뜻한 아메리카노 세 잔 얼마에요?,따뜻한 아메리카노 가격은 10500원 입니다.,제품_가격_질문
아이스 아메리카노 세 잔 얼마에요?,아이스 아메리카노 가격은 10500원 입니다.,제품_가격_질문
따뜻한 아메리카노 네 잔 얼마에요?,따뜻한 아메리카노 가격은 14000원 입니다.,제품_가격_질문
아이스 아메리카노 네 잔 얼마에요?,아이스 아메리카노 가격은 14000원 입니다.,제품_가격_질문
따뜻한 아메리카노 다섯 잔 얼마에요?,따뜻한 아메리카노 가격은 17500원 입니다.,제품_가격_질문
아이스 아메리카노 다섯 잔 얼마에요?,아이스 아메리카노 가격은 17500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 1잔 합해서 얼마죠?,가격은 7000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 2잔 합해서 얼마죠?,가격은 10500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 3잔 합해서 얼마죠?,가격은 14000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 4잔 합해서 얼마죠?,가격은 17500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 5잔 합해서 얼마죠?,가격은 21000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 1잔 합해서 얼마죠?,가격은 8000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 2잔 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 3잔 합해서 얼마죠?,가격은 17000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 4잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 5잔 합해서 얼마죠?,가격은 26000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 1잔 합해서 얼마죠?,가격은 11500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 2잔 합해서 얼마죠?,가격은 16000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 3잔 합해서 얼마죠?,가격은 20500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 4잔 합해서 얼마죠?,가격은 25000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 5잔 합해서 얼마죠?,가격은 29500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 1잔 합해서 얼마죠?,가격은 15000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 2잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 3잔 합해서 얼마죠?,가격은 24000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 4잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 5잔 합해서 얼마죠?,가격은 33000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 1잔 합해서 얼마죠?,가격은 18500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 2잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
